"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","16","checkCsvTest()","","Wed Mar 18 10:51:16 UTC 2026","passed","Wed Mar 18 10:51:16 UTC 2026","","files.tests.ZipFileTest","files.tests.ZipFileTest","checkCsvTest"
"","1140","testParsingJson()","","Wed Mar 18 10:51:13 UTC 2026","passed","Wed Mar 18 10:51:14 UTC 2026","","files.tests.JsonFileTest","files.tests.JsonFileTest","testParsingJson"
"","4131","Негативная проверка - не заполненные поля","","Wed Mar 18 10:49:53 UTC 2026","passed","Wed Mar 18 10:49:57 UTC 2026","","Проверка большой формы регистрации","com.demoqa.tests.BigFormTest","negativeEmptyFieldsTest"
"","4706","positiveMinimumDataAllLanguageTest(String, String) Проверка регистрации с разными языками: ""Matti"", ""Meikäläinen""","","Wed Mar 18 10:50:31 UTC 2026","passed","Wed Mar 18 10:50:36 UTC 2026","","Проверка большой формы регистрации","com.demoqa.tests.BigFormTest","positiveMinimumDataAllLanguageTest"
"","9954","Тест c Лямбда-нотацией","","Wed Mar 18 10:50:43 UTC 2026","passed","Wed Mar 18 10:50:53 UTC 2026","","com.github.tests.LambdaNotationTest","com.github.tests.LambdaNotationTest","testWithPureSelenide"
"","5359","positiveMinimumDataAllLanguageTest(String, String) Проверка регистрации с разными языками: ""王"", ""小明""","","Wed Mar 18 10:50:20 UTC 2026","passed","Wed Mar 18 10:50:26 UTC 2026","","Проверка большой формы регистрации","com.demoqa.tests.BigFormTest","positiveMinimumDataAllLanguageTest"
"","3908","Негативная проверка - не верный формат Email","","Wed Mar 18 10:49:49 UTC 2026","passed","Wed Mar 18 10:49:53 UTC 2026","","Проверка большой формы регистрации","com.demoqa.tests.BigFormTest","negativeWrongEmailFormatTest"
"","12181","Тест в шагами в отдельном классе","","Wed Mar 18 10:51:01 UTC 2026","passed","Wed Mar 18 10:51:13 UTC 2026","","com.github.tests.StepsWithAnnotationTest","com.github.tests.StepsWithAnnotationTest","testAnnotatedStep"
"","3611","negativeWrongEmail()","","Wed Mar 18 10:50:39 UTC 2026","passed","Wed Mar 18 10:50:43 UTC 2026","","com.demoqa.tests.TextBoxTest","com.demoqa.tests.TextBoxTest","negativeWrongEmail"
"","12079","Проверка максимального набора данных Проверка регистрации с полом: ""Male""","","Wed Mar 18 10:49:21 UTC 2026","passed","Wed Mar 18 10:49:33 UTC 2026","","Проверка большой формы регистрации","com.demoqa.tests.BigFormTest","positiveFullDataAllGenderTest"
"","4690","positiveMinimumDataAllLanguageTest(String, String) Проверка регистрации с разными языками: ""John"", ""Doe""","","Wed Mar 18 10:50:11 UTC 2026","passed","Wed Mar 18 10:50:16 UTC 2026","","Проверка большой формы регистрации","com.demoqa.tests.BigFormTest","positiveMinimumDataAllLanguageTest"
"","5097","positiveMinimumDataAllLanguageTest(String, String) Проверка регистрации с разными языками: ""山田"", ""太郎""","","Wed Mar 18 10:50:26 UTC 2026","passed","Wed Mar 18 10:50:31 UTC 2026","","Проверка большой формы регистрации","com.demoqa.tests.BigFormTest","positiveMinimumDataAllLanguageTest"
"","4673","positiveMinimumDataDifferentNamesLengthTest(String, String) Проверка регистрации с разными данными: ""1"", ""2""","","Wed Mar 18 10:50:02 UTC 2026","passed","Wed Mar 18 10:50:06 UTC 2026","","Проверка большой формы регистрации","com.demoqa.tests.BigFormTest","positiveMinimumDataDifferentNamesLengthTest"
"","1141","checkExcelTest()","","Wed Mar 18 10:51:14 UTC 2026","passed","Wed Mar 18 10:51:16 UTC 2026","","files.tests.ZipFileTest","files.tests.ZipFileTest","checkExcelTest"
"","4717","positiveMinimumDataDifferentNamesLengthTest(String, String) Проверка регистрации с разными данными: ""Qazxswedcvfrtgbnhyujmikolpqazxswedcvfrtgbnhyujmikolp"", ""Plokimjuyhnbgtrfvcdewsxzaqplokimjuyhnbgtrfvcdewsxzaq""","","Wed Mar 18 10:50:06 UTC 2026","passed","Wed Mar 18 10:50:11 UTC 2026","","Проверка большой формы регистрации","com.demoqa.tests.BigFormTest","positiveMinimumDataDifferentNamesLengthTest"
