"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3584","negativeWrongEmail()","","Mon Mar 23 20:10:17 UTC 2026","passed","Mon Mar 23 20:10:21 UTC 2026","","com.demoqa.tests.TextBoxTest","com.demoqa.tests.TextBoxTest","negativeWrongEmail"
"","4207","positiveMinimumDataAllLanguageTest(String, String) Проверка регистрации с разными языками: ""王"", ""小明""","","Mon Mar 23 20:10:02 UTC 2026","passed","Mon Mar 23 20:10:06 UTC 2026","","Проверка большой формы регистрации","com.demoqa.tests.BigFormTest","positiveMinimumDataAllLanguageTest"
"","3601","Негативная проверка - не заполненные поля","","Mon Mar 23 20:09:38 UTC 2026","passed","Mon Mar 23 20:09:41 UTC 2026","","Проверка большой формы регистрации","com.demoqa.tests.BigFormTest","negativeEmptyFieldsTest"
"","1253","testParsingJson()","","Mon Mar 23 20:11:00 UTC 2026","passed","Mon Mar 23 20:11:01 UTC 2026","","files.tests.JsonFileTest","files.tests.JsonFileTest","testParsingJson"
"","13924","Тест c Лямбда-нотацией","","Mon Mar 23 20:10:21 UTC 2026","passed","Mon Mar 23 20:10:35 UTC 2026","","com.github.tests.LambdaNotationTest","com.github.tests.LambdaNotationTest","testWithPureSelenide"
"","4012","positiveMinimumDataAllLanguageTest(String, String) Проверка регистрации с разными языками: ""John"", ""Doe""","","Mon Mar 23 20:09:54 UTC 2026","passed","Mon Mar 23 20:09:58 UTC 2026","","Проверка большой формы регистрации","com.demoqa.tests.BigFormTest","positiveMinimumDataAllLanguageTest"
"","3583","Негативная проверка - не верный формат Email","","Mon Mar 23 20:09:34 UTC 2026","passed","Mon Mar 23 20:09:38 UTC 2026","","Проверка большой формы регистрации","com.demoqa.tests.BigFormTest","negativeWrongEmailFormatTest"
"","12228","Тест в шагами в отдельном классе","","Mon Mar 23 20:10:48 UTC 2026","passed","Mon Mar 23 20:11:00 UTC 2026","","com.github.tests.StepsWithAnnotationTest","com.github.tests.StepsWithAnnotationTest","testAnnotatedStep"
"","9","zipFileTest()","","Mon Mar 23 20:11:03 UTC 2026","passed","Mon Mar 23 20:11:03 UTC 2026","","files.tests.ZipFileTest","files.tests.ZipFileTest","zipFileTest"
"","4089","positiveMinimumDataDifferentNamesLengthTest(String, String) Проверка регистрации с разными данными: ""A"", ""B""","","Mon Mar 23 20:09:41 UTC 2026","passed","Mon Mar 23 20:09:45 UTC 2026","","Проверка большой формы регистрации","com.demoqa.tests.BigFormTest","positiveMinimumDataDifferentNamesLengthTest"
