"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","10076","Проверка максимального набора данных Проверка регистрации с полом: ""Other""","","Mon Mar 23 20:40:33 UTC 2026","passed","Mon Mar 23 20:40:44 UTC 2026","","Проверка большой формы регистрации","com.demoqa.tests.BigFormTest","positiveFullDataAllGenderTest"
"","3646","positiveMinimumDataAllLanguageTest(String, String) Проверка регистрации с разными языками: ""山田"", ""太郎""","","Mon Mar 23 20:41:13 UTC 2026","passed","Mon Mar 23 20:41:16 UTC 2026","","Проверка большой формы регистрации","com.demoqa.tests.BigFormTest","positiveMinimumDataAllLanguageTest"
"","499","checkPdfTest()","","Mon Mar 23 20:42:04 UTC 2026","passed","Mon Mar 23 20:42:04 UTC 2026","","files.tests.ZipFileTest","files.tests.ZipFileTest","checkPdfTest"
"","3589","positiveMinimumDataAllLanguageTest(String, String) Проверка регистрации с разными языками: ""Matti"", ""Meikäläinen""","","Mon Mar 23 20:41:16 UTC 2026","passed","Mon Mar 23 20:41:20 UTC 2026","","Проверка большой формы регистрации","com.demoqa.tests.BigFormTest","positiveMinimumDataAllLanguageTest"
"","18","checkCsvTest()","","Mon Mar 23 20:42:04 UTC 2026","passed","Mon Mar 23 20:42:04 UTC 2026","","files.tests.ZipFileTest","files.tests.ZipFileTest","checkCsvTest"
"","3868","positiveMinimumDataDifferentNamesLengthTest(String, String) Проверка регистрации с разными данными: ""1"", ""2""","","Mon Mar 23 20:40:54 UTC 2026","passed","Mon Mar 23 20:40:58 UTC 2026","","Проверка большой формы регистрации","com.demoqa.tests.BigFormTest","positiveMinimumDataDifferentNamesLengthTest"
"","10428","Тест в шагами в отдельном классе","","Mon Mar 23 20:41:51 UTC 2026","passed","Mon Mar 23 20:42:01 UTC 2026","","com.github.tests.StepsWithAnnotationTest","com.github.tests.StepsWithAnnotationTest","testAnnotatedStep"
"","3789","positiveMinimumDataDifferentNamesLengthTest(String, String) Проверка регистрации с разными данными: ""Qazxswedcvfrtgbnhyujmikolpqazxswedcvfrtgbnhyujmikolp"", ""Plokimjuyhnbgtrfvcdewsxzaqplokimjuyhnbgtrfvcdewsxzaq""","","Mon Mar 23 20:40:58 UTC 2026","passed","Mon Mar 23 20:41:01 UTC 2026","","Проверка большой формы регистрации","com.demoqa.tests.BigFormTest","positiveMinimumDataDifferentNamesLengthTest"
"","3272","Негативная проверка - не верный формат Email","","Mon Mar 23 20:40:44 UTC 2026","passed","Mon Mar 23 20:40:47 UTC 2026","","Проверка большой формы регистрации","com.demoqa.tests.BigFormTest","negativeWrongEmailFormatTest"
"","10","zipFileTest()","","Mon Mar 23 20:42:04 UTC 2026","passed","Mon Mar 23 20:42:04 UTC 2026","","files.tests.ZipFileTest","files.tests.ZipFileTest","zipFileTest"
"","3228","negativeWrongEmail()","","Mon Mar 23 20:41:23 UTC 2026","passed","Mon Mar 23 20:41:26 UTC 2026","","com.demoqa.tests.TextBoxTest","com.demoqa.tests.TextBoxTest","negativeWrongEmail"
"","3746","positiveMinimumDataAllLanguageTest(String, String) Проверка регистрации с разными языками: ""John"", ""Doe""","","Mon Mar 23 20:41:01 UTC 2026","passed","Mon Mar 23 20:41:05 UTC 2026","","Проверка большой формы регистрации","com.demoqa.tests.BigFormTest","positiveMinimumDataAllLanguageTest"
"","1179","testParsingJson()","","Mon Mar 23 20:42:01 UTC 2026","passed","Mon Mar 23 20:42:02 UTC 2026","","files.tests.JsonFileTest","files.tests.JsonFileTest","testParsingJson"
"","11851","Тест c Лямбда-нотацией","","Mon Mar 23 20:41:26 UTC 2026","passed","Mon Mar 23 20:41:38 UTC 2026","","com.github.tests.LambdaNotationTest","com.github.tests.LambdaNotationTest","testWithPureSelenide"
"","3250","positiveFillAllFieldsTest()","","Mon Mar 23 20:41:20 UTC 2026","passed","Mon Mar 23 20:41:23 UTC 2026","","com.demoqa.tests.TextBoxTest","com.demoqa.tests.TextBoxTest","positiveFillAllFieldsTest"
"","10400","Проверка максимального набора данных Проверка регистрации с полом: ""Female""","","Mon Mar 23 20:40:23 UTC 2026","passed","Mon Mar 23 20:40:33 UTC 2026","","Проверка большой формы регистрации","com.demoqa.tests.BigFormTest","positiveFullDataAllGenderTest"
"","12573","Проверка максимального набора данных Проверка регистрации с полом: ""Male""","","Mon Mar 23 20:40:10 UTC 2026","passed","Mon Mar 23 20:40:23 UTC 2026","","Проверка большой формы регистрации","com.demoqa.tests.BigFormTest","positiveFullDataAllGenderTest"
"","1171","checkExcelTest()","","Mon Mar 23 20:42:02 UTC 2026","passed","Mon Mar 23 20:42:04 UTC 2026","","files.tests.ZipFileTest","files.tests.ZipFileTest","checkExcelTest"
