"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","17285","positiveMinimumDataDifferentNamesLengthTest(String, String) Проверка регистрации с разными данными: ""Qazxswedcvfrtgbnhyujmikolpqazxswedcvfrtgbnhyujmikolp"", ""Plokimjuyhnbgtrfvcdewsxzaqplokimjuyhnbgtrfvcdewsxzaq""","","Wed Mar 18 11:20:52 UTC 2026","failed","Wed Mar 18 11:21:09 UTC 2026","","Проверка большой формы регистрации","com.demoqa.tests.BigFormTest","positiveMinimumDataDifferentNamesLengthTest"
"","1341","checkCsvTest()","","Wed Mar 18 11:19:49 UTC 2026","passed","Wed Mar 18 11:19:50 UTC 2026","","files.tests.ZipFileTest","files.tests.ZipFileTest","checkCsvTest"
"","27787","Проверка максимального набора данных Проверка регистрации с полом: ""Female""","","Wed Mar 18 11:19:54 UTC 2026","failed","Wed Mar 18 11:20:22 UTC 2026","","Проверка большой формы регистрации","com.demoqa.tests.BigFormTest","positiveFullDataAllGenderTest"
"","16530","positiveMinimumDataAllLanguageTest(String, String) Проверка регистрации с разными языками: ""Matti"", ""Meikäläinen""","","Wed Mar 18 11:20:54 UTC 2026","failed","Wed Mar 18 11:21:10 UTC 2026","","Проверка большой формы регистрации","com.demoqa.tests.BigFormTest","positiveMinimumDataAllLanguageTest"
"","328","testParsingJson()","","Wed Mar 18 11:19:52 UTC 2026","passed","Wed Mar 18 11:19:53 UTC 2026","","files.tests.JsonFileTest","files.tests.JsonFileTest","testParsingJson"
"","12451","positiveMinimumDataAllLanguageTest(String, String) Проверка регистрации с разными языками: ""John"", ""Doe""","","Wed Mar 18 11:19:54 UTC 2026","passed","Wed Mar 18 11:20:06 UTC 2026","","Проверка большой формы регистрации","com.demoqa.tests.BigFormTest","positiveMinimumDataAllLanguageTest"
"","47944","Негативная проверка - не верный формат Email","","Wed Mar 18 11:19:55 UTC 2026","failed","Wed Mar 18 11:20:43 UTC 2026","","Проверка большой формы регистрации","com.demoqa.tests.BigFormTest","negativeWrongEmailFormatTest"
"","36164","Тест на голом Селениде","","Wed Mar 18 11:19:55 UTC 2026","failed","Wed Mar 18 11:20:31 UTC 2026","","com.github.tests.PureSelenideTest","com.github.tests.PureSelenideTest","testWithPureSelenide"
"","10","zipFileTest()","","Wed Mar 18 11:19:50 UTC 2026","passed","Wed Mar 18 11:19:50 UTC 2026","","files.tests.ZipFileTest","files.tests.ZipFileTest","zipFileTest"
"","39088","Тест c Лямбда-нотацией","","Wed Mar 18 11:19:55 UTC 2026","passed","Wed Mar 18 11:20:34 UTC 2026","","com.github.tests.LambdaNotationTest","com.github.tests.LambdaNotationTest","testWithPureSelenide"
"","37648","Проверка максимального набора данных Проверка регистрации с полом: ""Male""","","Wed Mar 18 11:19:55 UTC 2026","failed","Wed Mar 18 11:20:32 UTC 2026","","Проверка большой формы регистрации","com.demoqa.tests.BigFormTest","positiveFullDataAllGenderTest"
"","56545","positiveMinimumDataDifferentNamesLengthTest(String, String) Проверка регистрации с разными данными: ""1"", ""2""","","Wed Mar 18 11:19:55 UTC 2026","failed","Wed Mar 18 11:20:52 UTC 2026","","Проверка большой формы регистрации","com.demoqa.tests.BigFormTest","positiveMinimumDataDifferentNamesLengthTest"
"","37075","Проверка максимального набора данных Проверка регистрации с полом: ""Other""","","Wed Mar 18 11:20:22 UTC 2026","failed","Wed Mar 18 11:20:59 UTC 2026","","Проверка большой формы регистрации","com.demoqa.tests.BigFormTest","positiveFullDataAllGenderTest"
"","47336","positiveMinimumDataAllLanguageTest(String, String) Проверка регистрации с разными языками: ""王"", ""小明""","","Wed Mar 18 11:20:06 UTC 2026","failed","Wed Mar 18 11:20:54 UTC 2026","","Проверка большой формы регистрации","com.demoqa.tests.BigFormTest","positiveMinimumDataAllLanguageTest"
"","54732","positiveMinimumDataDifferentNamesLengthTest(String, String) Проверка регистрации с разными данными: ""A"", ""B""","","Wed Mar 18 11:19:55 UTC 2026","failed","Wed Mar 18 11:20:50 UTC 2026","","Проверка большой формы регистрации","com.demoqa.tests.BigFormTest","positiveMinimumDataDifferentNamesLengthTest"
"","16117","positiveMinimumDataAllLanguageTest(String, String) Проверка регистрации с разными языками: ""山田"", ""太郎""","","Wed Mar 18 11:20:54 UTC 2026","failed","Wed Mar 18 11:21:10 UTC 2026","","Проверка большой формы регистрации","com.demoqa.tests.BigFormTest","positiveMinimumDataAllLanguageTest"
"","54511","positiveMinimumDataAllLanguageTest(String, String) Проверка регистрации с разными языками: ""José"", ""García""","","Wed Mar 18 11:20:07 UTC 2026","failed","Wed Mar 18 11:21:01 UTC 2026","","Проверка большой формы регистрации","com.demoqa.tests.BigFormTest","positiveMinimumDataAllLanguageTest"
"","31968","Тест в шагами в отдельном классе","","Wed Mar 18 11:19:53 UTC 2026","passed","Wed Mar 18 11:20:25 UTC 2026","","com.github.tests.StepsWithAnnotationTest","com.github.tests.StepsWithAnnotationTest","testAnnotatedStep"
"","940","checkPdfTest()","","Wed Mar 18 11:19:50 UTC 2026","passed","Wed Mar 18 11:19:51 UTC 2026","","files.tests.ZipFileTest","files.tests.ZipFileTest","checkPdfTest"
"","9302","positiveFillAllFieldsTest()","","Wed Mar 18 11:19:55 UTC 2026","passed","Wed Mar 18 11:20:04 UTC 2026","","com.demoqa.tests.TextBoxTest","com.demoqa.tests.TextBoxTest","positiveFillAllFieldsTest"
"","47461","Негативная проверка - не заполненные поля","","Wed Mar 18 11:19:55 UTC 2026","failed","Wed Mar 18 11:20:42 UTC 2026","","Проверка большой формы регистрации","com.demoqa.tests.BigFormTest","negativeEmptyFieldsTest"
"","10807","negativeWrongEmail()","","Wed Mar 18 11:19:54 UTC 2026","passed","Wed Mar 18 11:20:05 UTC 2026","","com.demoqa.tests.TextBoxTest","com.demoqa.tests.TextBoxTest","negativeWrongEmail"
"","894","checkExcelTest()","","Wed Mar 18 11:19:51 UTC 2026","passed","Wed Mar 18 11:19:52 UTC 2026","","files.tests.ZipFileTest","files.tests.ZipFileTest","checkExcelTest"
