"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","964","checkExcelTest()","","Fri Apr 10 12:53:29 UTC 2026","passed","Fri Apr 10 12:53:30 UTC 2026","","files.tests.ZipFileTest","files.tests.ZipFileTest","checkExcelTest"
"","4231","positiveMinimumDataAllLanguageTest(String, String) Проверка регистрации с разными языками: ""José"", ""García""","","Fri Apr 10 12:52:28 UTC 2026","passed","Fri Apr 10 12:52:32 UTC 2026","","Проверка большой формы регистрации","com.demoqa.tests.BigFormTest","positiveMinimumDataAllLanguageTest"
"","3557","Негативная проверка - не заполненные поля","","Fri Apr 10 12:52:06 UTC 2026","passed","Fri Apr 10 12:52:10 UTC 2026","","Проверка большой формы регистрации","com.demoqa.tests.BigFormTest","negativeEmptyFieldsTest"
"Попытка аутентификации с неверным паролем должна возвращать 401 и страницу с ошибкой","1210","Неверный пароль → 401","","Fri Apr 10 12:51:28 UTC 2026","passed","Fri Apr 10 12:51:29 UTC 2026","","cloud.autotests.selenoid.ApiTest","cloud.autotests.selenoid.ApiTest","wrongPasswordTest"
"Извлекаем поле message из ответа /wd/hub/status, проверяем формат 'Selenoid X.Y.Z built at ...' и убеждаемся, что дата сборки не позднее текущего момента.","3395","Проверка сообщения статуса: версия Selenoid и дата сборки не в будущем","","Fri Apr 10 12:51:18 UTC 2026","passed","Fri Apr 10 12:51:21 UTC 2026","","cloud.autotests.selenoid.ApiTest","cloud.autotests.selenoid.ApiTest","messageContainSelenoidVersionAndBuildDateTest"
"Попытка аутентификации с пустым паролем должна возвращать 401","1192","Пустой пароль → 401","","Fri Apr 10 12:51:29 UTC 2026","passed","Fri Apr 10 12:51:30 UTC 2026","","cloud.autotests.selenoid.ApiTest","cloud.autotests.selenoid.ApiTest","emptyPasswordTest"
"","13129","Проверка максимального набора данных Проверка регистрации с полом: ""Male""","","Fri Apr 10 12:51:30 UTC 2026","passed","Fri Apr 10 12:51:44 UTC 2026","","Проверка большой формы регистрации","com.demoqa.tests.BigFormTest","positiveFullDataAllGenderTest"
"","11003","Тест в шагами в отдельном классе","","Fri Apr 10 12:53:17 UTC 2026","passed","Fri Apr 10 12:53:28 UTC 2026","","com.github.tests.StepsWithAnnotationTest","com.github.tests.StepsWithAnnotationTest","testAnnotatedStep"
"Проверяем, что структура ответа соответствует заранее определённой JSON схеме (status_response_schema.json)","1744","JSON Schema validation","","Fri Apr 10 12:51:26 UTC 2026","passed","Fri Apr 10 12:51:28 UTC 2026","","cloud.autotests.selenoid.ApiTest","cloud.autotests.selenoid.ApiTest","schemaValidationTest"
"","4621","positiveMinimumDataDifferentNamesLengthTest(String, String) Проверка регистрации с разными данными: ""1"", ""2""","","Fri Apr 10 12:52:14 UTC 2026","passed","Fri Apr 10 12:52:19 UTC 2026","","Проверка большой формы регистрации","com.demoqa.tests.BigFormTest","positiveMinimumDataDifferentNamesLengthTest"
